"state","drugdeaths","unemploy"
"AL",16.2000007629395,6
"AK",16.7999992370605,6.59999990463257
"AZ",20.2999992370605,5.30000019073486
"AR",14,4
"CA",11.1999998092651,5.40000009536743
"CO",16.6000003814697,3.29999995231628
"CT",27.3999996185303,5.09999990463257
"DE",30.7999992370605,4.40000009536743
"FL",23.7000007629395,4.90000009536743
"GA",13.3000001907349,5.40000009536743
"HI",12.8000001907349,3
"ID",15.1999998092651,3.79999995231628
"IL",18.8999996185303,5.90000009536743
"IN",24,4.40000009536743
"IA",10.6000003814697,3.70000004768372
"KS",11.1000003814697,4.19999980926514
"KY",33.5,5
"LA",21.7999992370605,6.09999990463257
"ME",28.7000007629395,3.90000009536743
"MD",33.2000007629395,4.30000019073486
"MA",33,3.70000004768372
"MI",24.3999996185303,4.90000009536743
"MN",12.5,3.90000009536743
"MS",12.1000003814697,5.80000019073486
"MO",23.6000003814697,4.5
"MT",11.6999998092651,4.09999990463257
"NE",6.40000009536743,3.20000004768372
"NV",21.7000007629395,5.69999980926514
"NH",39,2.79999995231628
"NJ",23.2000007629395,5
"NM",25.2000007629395,6.69999980926514
"NY",18,4.80000019073486
"NC",19.7000007629395,5.09999990463257
"ND",10.6000003814697,3.20000004768372
"OH",39.0999984741211,4.90000009536743
"OK",21.5,4.90000009536743
"OR",11.8999996185303,4.90000009536743
"PA",37.9000015258789,5.40000009536743
"RI",30.7999992370605,5.30000019073486
"SC",18.1000003814697,4.80000019073486
"SD",8.39999961853027,2.79999995231628
"TN",24.5,4.80000019073486
"TX",10.1000003814697,4.59999990463257
"UT",22.3999996185303,3.40000009536743
"VT",22.2000007629395,3.29999995231628
"VA",16.7000007629395,4
"WA",14.5,5.40000009536743
"WV",52,6
"WI",19.2999992370605,4.09999990463257
"WY",17.6000003814697,5.30000019073486
